data_node,status,speed_ms
cmip.fio.org.cn,DOWN,20
cmip.dess.tsinghua.edu.cn,DOWN,23
esg.lasg.ac.cn,UP,24.6666666666667
esgf.anl.gov,DOWN,57
esgf-data1.diasjp.net,UP,78.3333333333333
esgf-data2.diasjp.net,UP,85.6666666666667
esgf-data3.diasjp.net,DOWN,97.3333333333333
esgf.rcec.sinica.edu.tw,UP,101
dist.nmlab.snu.ac.kr,DOWN,110.333333333333
polaris.pknu.ac.kr,DOWN,195
esgf.nci.org.au,UP,222.333333333333
esgf.ichec.ie,DOWN,258.333333333333
esgf-node2.cmcc.it,UP,259.666666666667
esgf-node.cmcc.it,UP,262.666666666667
esg-dn1.nsc.liu.se,UP,272
esg-dn2.nsc.liu.se,UP,275.333333333333
noresg.nird.sigma2.no,UP,276.666666666667
esgf-data.ucar.edu,UP,307
aims3.llnl.gov,UP,316
esgf-data1.llnl.gov,UP,316
esgf-data2.llnl.gov,UP,316
esgf-data.csc.fi,UP,321
cmip.bcc.cma.cn,UP,
cordexesg.dmi.dk,UP,
crd-esgf-drc.ec.gc.ca,UP,
data.meteo.unican.es,UP,
dataserver.nccs.nasa.gov,UP,
dpesgf03.nccs.nasa.gov,UP,
esg-cccr.tropmet.res.in,UP,
esg-dn1.ru.ac.th,UP,
esg.camscma.cn,UP,
esg.pik-potsdam.de,UP,
esg1.umr-cnrm.fr,UP,
esg2.umr-cnrm.fr,UP,
esgdata.gfdl.noaa.gov,UP,
esgf-cnr.hpc.cineca.it,UP,
esgf-ictp.hpc.cineca.it,UP,
esgf.apcc21.org,UP,
esgf.bsc.es,UP,
esgf.ceda.ac.uk,UP,
esgf.dwd.de,UP,
esgf.nccs.nasa.gov,UP,
esgf1.dkrz.de,UP,
esgf2.dkrz.de,UP,
vesg.ipsl.upmc.fr,UP,
eridanus.eoc.dlr.de,DOWN,
esgf-nimscmip6.apcc21.org,DOWN,
esgf-open.apps.onyx.ccs.ornl.gov,DOWN,
esgf3.dkrz.de,DOWN,
